Land_use,Area in start year,Area in end year,Percent change
training_area,,,
cemetery,,,
storage,0.0,,
forest,,,
grass,,,
greenfield,0.0,,
plant_nursery,,,
brownfield,,,
retail,,,
recreation_ground,,,
meadow,,,
commercial,,,
industrial,,,
shrubland,,,
utility,,0.0,
landfill,0.0,,
reservoir,,0.0,
vineyard,0.0,,
education,0.0,,
public facility,0.0,,
village_green,,,
military,,,
quarry,,,
orchard,0.0,,
religious,,,
allotments,,,
unknown,,,
residential,,,
churchyard,,0.0,
construction,,,
municipial,0.0,,
