Class Code,Class Name,Area (ha)
211,Non-irrigated arable land,19609.27
112,Discontinuous urban fabric,15463.45
231,Pastures,12717.43
121,Industrial/commercial units,6575.25
423,Intertidal flats,4052.42
522,Estuaries,2989.61
142,Sport and leisure,1671.7
421,Salt marshes,1330.85
141,Green urban areas,982.23
123,Port areas,761.33
124,Airports,597.05
111,Continuous urban fabric,549.86
311,Broad-leaved forest,413.55
243,Agro-forestry,229.97
313,Mixed forest,213.72
512,Water bodies,91.02
411,Inland wetlands,75.53
511,Water courses,67.64
122,Roads and rail,67.63
321,Natural grasslands,55.76
324,Transitional woodland-shrub,46.0
133,Construction sites,38.85
312,Coniferous forest,33.42
